stop_id,stop_name,stop_lat,stop_lon,Zipcode
21197,E Vista Way & Old Taylor St,33.230034,-117.226298,92084
21198,Hwy 76 & Olive Hill Rd,33.288546,-117.225837,92003
21199,S Mission Rd & Hwy 76,33.294879,-117.222977,92003
21201,Oak Dr & Monte Mar Rd,33.218347,-117.221921,92084
21202,Oak Dr & Palomar Pl,33.222695,-117.221923,92084
21203,Sycamore Av & Watson Way,33.161114,-117.219881,92081
21204,Rancho Santa Fe Rd & Lake Ridge Rd,33.1222,-117.218896,92078
21205,La Mirada Dr & Ash St,33.148923,-117.21835,92081
21206,Sycamore Av & Shadowridge Dr,33.164204,-117.21728,92083
21210,Rancho Santa Fe Rd & San Marcos Bl,33.130004,-117.210106,92078
21213,Rancho Santa Fe Rd & Descanso Av,33.14818,-117.199453,92078
21232,Quince St & Mission Av,33.127113,-117.093245,92025
21233,Broadway & Village Rd,33.157888,-117.092549,92026
21234,Quince St & Washington Av,33.124854,-117.092271,92025
21236,Broadway & Vista Av,33.153046,-117.091794,92026
21237,Broadway & Leslie Ln,33.148205,-117.090985,92026
21238,Quince St & Norlak Av,33.120804,-117.090073,92025
21239,Broadway & Bud Quade Way,33.143297,-117.090196,92026
21240,Broadway & El Norte Pkwy,33.139,-117.089322,92026
21241,Broadway & 1125,33.136294,-117.088093,92026
21246,Broadway & Washington Av,33.126507,-117.083796,92025
21247,Escondido Bl & 2nd Av,33.119088,-117.08341,92025
21249,Escondido Bl & 6th Av,33.115674,-117.080993,92025
21250,Escondido Bl & 9th Av,33.112687,-117.078881,92025
21254,Escondido Bl & 13th Av,33.10921,-117.076409,92025
21271,Bear Valley Pkwy & Las Palmas Av,33.085735,-117.057302,92025
21273,Midway Dr & Mission Av,33.144295,-117.056271,92027
21274,Midway Dr & Washington Av,33.141107,-117.053687,92027
21277,Citrus Av & Bear Valley Pkwy,33.13673,-117.041563,92027
21278,Hwy 78 & Old San Pasqual Rd,33.102711,-117.036606,92025
21280,Hwy 76 & Adams Dr,33.340235,-117.012254,92061
21281,Hwy 76 & Pauma Reservation Rd,33.329219,-117.000611,92061
21282,Hwy 76 & Cole Grade Rd,33.318523,-116.992722,92061
21283,Hwy 78 & Horizon View Dr,33.07422,-116.902831,92065
21284,Hwy 78 & Cedar St,33.054502,-116.871477,92065
