X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-106.320173,31.681592,482156,60006,2912,Carl Longuemere\San Lorenzo,9400 Unit IB & San Lorenzo Ave,31.681592,-106.320173,,,2912,,,,0,,,,01-13-2024
-106.321913,31.6802680000001,482157,60006,2913,Corralitos\Carranza,9378 Unit IB & Carranza Dr,31.680268,-106.321913,,,2913,,,,0,,,,01-13-2024
-106.354094,31.721168,482158,60006,2915,8119 Alameda\Yarbrough,8115 Unit IB & Yarbrough Dr,31.721168,-106.354094,,,2915,,,,0,,,,01-13-2024
-106.435825,31.8856440000001,482159,60006,2917,Trans-Mt Campus\Kenworthy\Fol, Unit OB/IB & Kenworthy St/ Folsom,31.885644,-106.435825,,,2917,,,,0,,,,01-13-2024
-106.393276,31.7792860000001,482160,60006,2918,6655 Gateway West\Airway,6655 Unit IB & Airway Blvd,31.779286,-106.393276,,,2918,,,,0,,,,01-13-2024
-106.423751,31.8264130000001,482161,60006,2919,7400 Fred Wilson\Lift Facility,7400 Unit IB & Lift Facility,31.826413,-106.423751,,,2919,,,,0,,,,01-13-2024
-106.431261,31.876538,482162,60006,2921,4713 Rutherford,4713 Unit OB & Omar Bradley Dr,31.876538,-106.431261,,,2921,,,,0,,,,01-13-2024
-106.325528,31.690841,482163,60006,2926,Alameda\Old Pueblo,9100 Unit OB & Old Pueblo Rd,31.690841,-106.325528,,,2926,,,,0,,,,01-13-2024
-106.323389,31.689922,482164,60006,2927,9172 Alameda\Cananea,9172 Unit OB & Cananea Ln,31.689922,-106.323389,,,2927,,,,0,,,,01-13-2024
-106.320758,31.6887080000001,482165,60006,2928,9300 Alameda\Gaspar,9300 Unit OB & Gaspar St,31.688708,-106.320758,,,2928,,,,0,,,,01-13-2024
-106.316889,31.6848910000001,482166,60006,2929,Alameda\Carnes, Unit OB & Carnes Rd,31.684891,-106.316889,,,2929,,,,0,,,,01-13-2024
-106.314434,31.6821,482167,60006,2930,Alameda\Americas, Unit OB & Americas Ave,31.6821,-106.314434,,,2930,,,,0,,,,01-13-2024
-106.311457,31.6786750000001,482168,60006,2931,Alameda\Ivey, Unit OB & Ivey Rd,31.678675,-106.311457,,,2931,,,,0,,,,01-13-2024
-106.309255,31.676166,482169,60006,2932,Alameda\Inglewood, Unit OB & Inglewood Dr,31.676166,-106.309255,,,2932,,,,0,,,,01-13-2024
-106.306599,31.6729950000001,482170,60006,2933,Alameda\Rafael Septien, Unit OB & Rafael Septien Ln,31.672995,-106.306599,,,2933,,,,0,,,,01-13-2024
-106.305295,31.6699800000001,482171,60006,2934,Rafael Septien\Staubach, Unit OB & Staubach Dr,31.66998,-106.305295,,,2934,,,,0,,,,01-13-2024
-106.304518,31.668258,482172,60006,2935,Staubach\Roman Gabriel, Unit OB & Roman Gabriel Ln,31.668258,-106.304518,,,2935,,,,0,,,,01-13-2024
-106.304782,31.6657430000001,482173,60006,2938,Isaiah\Lily,100 Unit IB & Lily Dr,31.665743,-106.304782,,,2938,,,,0,,,,01-13-2024
-106.307573,31.6657730000001,482174,60006,2939,Isaiah\Jericho,200 Unit IB & Jericho Dr,31.665773,-106.307573,,,2939,,,,0,,,,01-13-2024
-106.309905,31.668028,482175,60006,2940,9757 Socorro\Jericho,9757 Unit IB & Jericho Dr,31.668028,-106.309905,,,2940,,,,0,,,,01-13-2024
-106.312019,31.671363,482176,60006,2941,9641 Socorro\Galilee,9641 Unit IB & Galilee Dr,31.671363,-106.312019,,,2941,,,,0,,,,01-13-2024
-106.312533,31.672175,482177,60006,2942,Socorro\Caribe,9600 Unit IB & Caribe Cir,31.672175,-106.312533,,,2942,,,,0,,,,01-13-2024
-106.31749,31.6784290000001,482178,60006,2943,Americas\Socorro, Unit IB & Socorro Rd,31.678429,-106.31749,,,2943,,,,0,,,,01-13-2024
-106.32246,31.67344,482179,60006,2945,Pan American\Plaza Circle,9571 Unit IB & Plaza Circle,31.67344,-106.32246,,,2945,,,,0,,,,01-13-2024
-106.320211,31.671408,482180,60006,2946,Oro Verde\Pan American,400 Unit IB & Pan American Dr,31.671408,-106.320211,,,2946,,,,0,,,,01-13-2024
-106.318969,31.6732060000001,482181,60006,2947,9640 Plaza Circle,9640 Unit IB & Oro Verde,31.673206,-106.318969,,,2947,,,,0,,,,01-13-2024
-106.320736,31.6745100000001,482182,60006,2948,9624 Plaza Circle,9624 Unit IB & Western Tech,31.67451,-106.320736,,,2948,,,,0,,,,01-13-2024
-106.327697,31.6755250000001,482183,60006,2950,Americas\Southside,9300 Unit IB & Southside Rd,31.675525,-106.327697,,,2950,,,,0,,,,01-13-2024
-106.332571,31.6838710000001,482184,60006,2951,Zaragoza\Schutz,400 Unit IB & Schutz Dr,31.683871,-106.332571,,,2951,,,,0,,,,01-13-2024
-106.370735,31.7670410000001,482185,60006,2953,1901 Roswell\Gateway East,1901 Unit OB & Gateway Blvd East,31.767041,-106.370735,,,2953,,,,0,,,,01-13-2024
-106.372036,31.7653100000001,482186,60006,2954,1807 Roswell\Raton,1807 Unit OB & Raton Dr,31.76531,-106.372036,,,2954,,,,0,,,,01-13-2024
-106.372661,31.763739,482187,60006,2955,Cuba\Alpine,7200 Unit OB & Alpine Dr,31.763739,-106.372661,,,2955,,,,0,,,,01-13-2024
-106.371832,31.7616370000001,482188,60006,2956,7224 Alpine\Winslow,7224 Unit OB & Winslow Rd,31.761637,-106.371832,,,2956,,,,0,,,,01-13-2024
-106.368673,31.75994,482189,60006,2957,7400 Alpine\Arlington,7400 Unit OB & Arlington St,31.75994,-106.368673,,,2957,,,,0,,,,01-13-2024
-106.365526,31.7591140000001,482190,60006,2958,Alpine\Hunter,7400 Unit OB & Hunter Rd,31.759114,-106.365526,,,2958,,,,0,,,,01-13-2024
-106.365389,31.758115,482191,60006,2959,Hunter\Wilcox,1300 Unit OB & Wilcox Dr,31.758115,-106.365389,,,2959,,,,0,,,,01-13-2024
-106.365384,31.756804,482192,60006,2960,1131 Hunter\Yuma,1131 Unit OB & Yuma Dr,31.756804,-106.365384,,,2960,,,,0,,,,01-13-2024
-106.34599,31.750103,482193,60006,2969,921 Yarbrough\Mazatlan,921 Unit OB/IB & Mazatlan Dr,31.750103,-106.34599,,,2969,,,,0,,,,01-13-2024
-106.345997,31.7488920000001,482194,60006,2970,731 Yarbrough\Santa Maria,731 Unit OB/IB & Santa Maria Rd,31.748892,-106.345997,,,2970,,,,0,,,,01-13-2024
-106.345979,31.7461240000001,482195,60006,2971,Yarbrough\Meraz,700 Unit OB/IB & Meraz Rd,31.746124,-106.345979,,,2971,,,,0,,,,01-13-2024
-106.34597,31.7439210000001,482196,60006,2972,Yarbrough\Hermosillo,600 Unit OB/IB & Hermosillo Dr,31.743921,-106.34597,,,2972,,,,0,,,,01-13-2024
-106.345098,31.742215,482197,60006,2973,7958 San Paulo\Yarbrough,7958 Unit OB & Yarbrough Dr,31.742215,-106.345098,,,2973,,,,0,,,,01-13-2024
-106.342009,31.7425710000001,482198,60006,2975,San Paulo\Lafayette,7900 Unit OB & Lafayette Dr,31.742571,-106.342009,,,2975,,,,0,,,,01-13-2024
